timestamp,accel_x,accel_y,accel_z,activity_label,,
4/1/2023 14:40,0.512,-0.576,10.24,standing,,
4/1/2023 14:40,0.05,0.02,-0.1,standing,,
4/1/2023 14:40,0.07,0.01,0.02,standing,,
4/1/2023 14:40,-0.02,0.01,-0.03,standing,,
4/1/2023 14:42,-0.1,-0.01,-0.07,standing,,
4/1/2023 14:42,0.15,0.35,7,walking,,
4/1/2023 14:42,-0.1,0.2,6.7,walking,,
4/1/2023 14:42,0.05,0.3,6.6,walking,,
4/1/2023 14:42,-0.2,0.15,7.3,walking,,
4/1/2023 14:43,0.1,0.25,7.9,walking,,
4/1/2023 14:43,-0.05,0.1,-9.7,falling,,
4/1/2023 14:43,0.1,-0.15,-9.8,falling,,
4/1/2023 14:43,-0.02,-0.08,-9.75,falling,,
4/1/2023 14:43,-9.24,2.76,7.32,falling,,
4/1/2023 14:43,-7.12,3.45,9.57,falling,,
4/1/2023 14:43,-4.78,4.68,12.02,falling,,
4/1/2023 14:43,-2.19,6.19,15.12,falling,,
4/1/2023 14:43,-0.02,8.36,17.36,falling,,
4/1/2023 14:43,1.98,10.32,19.21,falling,,
4/1/2023 14:43,2,9,18.24,falling,,
4/1/2023 14:43,2.91,11.98,20.12,falling,,
4/1/2023 14:43,3.45,13.01,21.02,falling,,
4/1/2023 14:43,4.12,14.07,22.11,falling,,
4/1/2023 14:43,5.02,15.15,23.09,falling,,
4/1/2023 14:43,0.03,0.01,9.81,standing,,
4/1/2023 14:43,0.05,-0.02,9.81,standing,,
4/1/2023 14:43,0.01,0.01,9.81,standing,,
4/1/2023 14:43,-0.01,0.02,9.81,standing,,
4/1/2023 14:43,0.02,-0.01,9.8,standing,,
4/1/2023 14:43,0.1,1.05,9,walking,,
4/1/2023 15:43,0.08,1.02,9.1,walking,,
4/1/2023 15:43,0.12,1.03,9.02,walking,,
4/1/2023 15:43,0.11,1.04,9.05,walking,,
4/1/2023 15:43,0.1,1.01,9.06,walking,,
4/1/2023 15:43,0.52,-0.57,10.24,standing,,
4/1/2023 15:43,0.04,0.03,-0.1,standing,,
4/1/2023 15:43,0.06,0.02,0.01,standing,,
4/1/2023 15:43,-0.02,0.01,-0.03,standing,,
4/1/2023 15:43,-0.11,-0.03,-0.07,standing,,
4/1/2023 15:43,0.15,0.35,7,walking,,
4/1/2023 15:43,-0.08,0.22,6.7,walking,,
4/1/2023 15:43,0.05,0.3,6.6,walking,,
4/1/2023 15:43,-0.2,0.15,7.3,walking,,
4/1/2023 15:43,0.1,0.25,7.9,walking,,
4/1/2023 15:43,-0.05,0.1,-9.7,falling,,
4/1/2023 15:43,0.1,-0.15,-9.8,falling,,
4/1/2023 15:43,-0.02,-0.08,-9.75,falling,,
4/1/2023 15:43,-9.24,2.76,7.32,falling,,
4/1/2023 15:43,-7.12,3.45,9.57,falling,,
4/1/2023 15:43,-4.78,4.68,12.02,falling,,
4/1/2023 15:43,-2.19,6.19,15.12,falling,,
4/1/2023 15:43,-0.02,8.36,17.36,falling,,
4/1/2023 15:43,1.98,10.32,19.21,falling,,
4/1/2023 15:43,2,9,18.24,falling,,
4/1/2023 15:43,2.91,11.98,20.12,falling,,
4/1/2023 15:43,3.45,13.01,21.02,falling,,
4/1/2023 15:43,4.12,14.07,22.11,falling,,
4/1/2023 15:43,5.02,15.15,23.09,falling,,
4/1/2023 15:43,0.03,0.01,9.81,standing,,
4/1/2023 15:43,0.05,-0.02,9.81,standing,,
4/1/2023 15:43,0.01,0.01,9.81,standing,,
4/1/2023 15:43,-0.01,0.02,9.81,standing,,
4/2/2023 15:43,0.02,-0.01,9.8,standing,,
4/3/2023 15:43,0.1,1.05,9,walking,,
4/4/2023 15:43,0.08,1.02,9.1,walking,,
4/5/2023 15:43,0.12,1.03,9.02,walking,,
4/6/2023 15:43,0.11,1.04,9.05,walking,,
4/7/2023 15:43,0.1,1.01,9.06,walking,,
